id,name,type,hp,attack,defense,speed,move1,move2,move3,move4
1,Bulbasaur,grass,60,50,65,60,3,9,0,0
2,Ivysaur,grass,70,60,65,60,3,9,7,0
3,Venusaur,grass,90,60,65,60,3,9,7,6
4,Charmander,fire,80,85,50,60,1,2,0,0
5,Charméleon,fire,80,85,108,60,1,2,4,0
6,Charizard,fire,80,85,108,60,1,2,4,0
7,Squirtle,water,80,85,108,60,5,7,0,0
8,Wartottle,water,80,85,108,60,5,7,2,0
9,Blastoise,water,80,85,108,60,5,7,2,0
10,Pikachu,electric,80,85,108,60,8,0,0,0
11,Raichu,electric,80,85,108,60,8,4,0,0
12,Growlithe,fire,80,85,108,60,1,2,0,0
13,Arcanine,fire,80,85,108,60,1,2,3,0
14,Poliwag,water,80,85,108,60,5,0,0,0
15,Poliwhirl,water,80,85,108,60,5,7,0,0
16,Poliwrath,water,80,85,108,60,5,7,6,0
17,Bellsprout,grass,80,85,108,60,3,0,0,0
18,Weepinbell,grass,80,85,108,60,3,9,0,0
19,Vincrteebel,grass,80,85,108,60,3,9,1,0
20,Aquali,water,80,85,108,60,6,7,0,0
21,Voltali,electric,80,85,108,60,4,8,0,0
22,Pyroli,fire,80,85,108,60,1,2,0,0
23,Ho-oh,fire,80,85,108,60,1,2,0,0
